Period,Country,kmeans,,,,,2020-Dec-10,2021-May-19,2022-May-13
2020-Dec-10,AFG,0,,,Brazil,BRA,1,1,2
2020-Dec-10,ALB,1,,,Russia,RUS,1,1,1
2020-Dec-10,DZA,0,,,India,IND,0,1,2
2020-Dec-10,AND,0,,,China,CHN,1,1,1
2020-Dec-10,AGO,0,,,South Africa,ZAF,0,0,0
2020-Dec-10,AIA,0,,,,,1,1,2
2020-Dec-10,ATG,0,,,,,,,
2020-Dec-10,ARG,1,,, Canada,CAN,1,1,1
2020-Dec-10,ARM,1,,, France,FRA,1,2,1
2020-Dec-10,ABW,0,,, Germany (2022 Host),GER,0,0,0
2020-Dec-10,AUS,1,,, Italy,ITA,1,1,2
2020-Dec-10,AUT,1,,, Japan,JPN,1,1,1
2020-Dec-10,AZE,1,,, United Kingdom,GBR,1,2,1
2020-Dec-10,BHS,0,,, United States,USA,1,2,1
2020-Dec-10,BHR,0,,,,,1,1,1
2020-Dec-10,BGD,0,,,,,,,
2020-Dec-10,BRB,1,,,,,,,
2020-Dec-10,BLR,1,,,,,,,
2020-Dec-10,BEL,1,,,,,,,
2020-Dec-10,BLZ,0,,,,,,,
2020-Dec-10,BEN,0,,,,,,,
2020-Dec-10,BMU,0,,,,,,,
2020-Dec-10,BTN,0,,,,,,,
2020-Dec-10,BOL,0,,,,,,,
2020-Dec-10,BES,0,,,,,,,
2020-Dec-10,BIH,1,,,,,,,
2020-Dec-10,BWA,0,,,,,,,
2020-Dec-10,BRA,1,,,,,,,
2020-Dec-10,VGB,0,,,,,,,
2020-Dec-10,BRN,0,,,,,,,
2020-Dec-10,BGR,1,,,,,,,
2020-Dec-10,BFA,0,,,,,,,
2020-Dec-10,BDI,0,,,,,,,
2020-Dec-10,KHM,0,,,,,,,
2020-Dec-10,CMR,0,,,,,,,
2020-Dec-10,CAN,1,,,,,,,
2020-Dec-10,CPV,0,,,,,,,
2020-Dec-10,CYM,0,,,,,,,
2020-Dec-10,CAF,0,,,,,,,
2020-Dec-10,TCD,0,,,,,,,
2020-Dec-10,CHL,1,,,,,,,
2020-Dec-10,CHN,1,,,,,,,
2020-Dec-10,COL,0,,,,,,,
2020-Dec-10,COM,0,,,,,,,
2020-Dec-10,COG,0,,,,,,,
2020-Dec-10,CRI,1,,,,,,,
2020-Dec-10,CIV,0,,,,,,,
2020-Dec-10,HRV,1,,,,,,,
2020-Dec-10,CUB,1,,,,,,,
2020-Dec-10,CUW,0,,,,,,,
2020-Dec-10,CYP,1,,,,,,,
2020-Dec-10,CZE,1,,,,,,,
2020-Dec-10,COD,0,,,,,,,
2020-Dec-10,DNK,1,,,,,,,
2020-Dec-10,DJI,0,,,,,,,
2020-Dec-10,DMA,0,,,,,,,
2020-Dec-10,DOM,0,,,,,,,
2020-Dec-10,ECU,0,,,,,,,
2020-Dec-10,EGY,0,,,,,,,
2020-Dec-10,SLV,0,,,,,,,
2020-Dec-10,GNQ,0,,,,,,,
2020-Dec-10,ERI,0,,,,,,,
2020-Dec-10,EST,1,,,,,,,
2020-Dec-10,SWZ,0,,,,,,,
2020-Dec-10,ETH,0,,,,,,,
2020-Dec-10,FRO,0,,,,,,,
2020-Dec-10,FLK,0,,,,,,,
2020-Dec-10,FJI,0,,,,,,,
2020-Dec-10,FIN,1,,,,,,,
2020-Dec-10,FRA,1,,,,,,,
2020-Dec-10,PYF,0,,,,,,,
2020-Dec-10,GAB,0,,,,,,,
2020-Dec-10,GMB,0,,,,,,,
2020-Dec-10,GEO,1,,,,,,,
2020-Dec-10,DEU,1,,,,,,,
2020-Dec-10,GHA,0,,,,,,,
2020-Dec-10,GIB,0,,,,,,,
2020-Dec-10,GRC,1,,,,,,,
2020-Dec-10,GRL,0,,,,,,,
2020-Dec-10,GRD,0,,,,,,,
2020-Dec-10,GUM,0,,,,,,,
2020-Dec-10,GTM,0,,,,,,,
2020-Dec-10,GIN,0,,,,,,,
2020-Dec-10,GNB,0,,,,,,,
2020-Dec-10,GUY,0,,,,,,,
2020-Dec-10,HTI,0,,,,,,,
2020-Dec-10,HND,0,,,,,,,
2020-Dec-10,HKG,1,,,,,,,
2020-Dec-10,HUN,1,,,,,,,
2020-Dec-10,ISL,1,,,,,,,
2020-Dec-10,IND,0,,,,,,,
2020-Dec-10,IDN,0,,,,,,,
2020-Dec-10,IRN,0,,,,,,,
2020-Dec-10,IRQ,0,,,,,,,
2020-Dec-10,IRL,1,,,,,,,
2020-Dec-10,IMN,0,,,,,,,
2020-Dec-10,ISR,1,,,,,,,
2020-Dec-10,ITA,1,,,,,,,
2020-Dec-10,JAM,0,,,,,,,
2020-Dec-10,JPN,1,,,,,,,
2020-Dec-10,JOR,0,,,,,,,
2020-Dec-10,KAZ,1,,,,,,,
2020-Dec-10,KEN,0,,,,,,,
2020-Dec-10,KWT,0,,,,,,,
2020-Dec-10,KGZ,0,,,,,,,
2020-Dec-10,LAO,0,,,,,,,
2020-Dec-10,LVA,1,,,,,,,
2020-Dec-10,LBN,1,,,,,,,
2020-Dec-10,LSO,0,,,,,,,
2020-Dec-10,LBR,0,,,,,,,
2020-Dec-10,LBY,0,,,,,,,
2020-Dec-10,LIE,0,,,,,,,
2020-Dec-10,LTU,1,,,,,,,
2020-Dec-10,LUX,1,,,,,,,
2020-Dec-10,MAC,0,,,,,,,
2020-Dec-10,MDG,0,,,,,,,
2020-Dec-10,MWI,0,,,,,,,
2020-Dec-10,MYS,0,,,,,,,
2020-Dec-10,MDV,0,,,,,,,
2020-Dec-10,MLI,0,,,,,,,
2020-Dec-10,MLT,1,,,,,,,
2020-Dec-10,MHL,0,,,,,,,
2020-Dec-10,MRT,0,,,,,,,
2020-Dec-10,MUS,0,,,,,,,
2020-Dec-10,MEX,1,,,,,,,
2020-Dec-10,MDA,1,,,,,,,
2020-Dec-10,MCO,0,,,,,,,
2020-Dec-10,MNG,0,,,,,,,
2020-Dec-10,MNE,1,,,,,,,
2020-Dec-10,MSR,0,,,,,,,
2020-Dec-10,MAR,0,,,,,,,
2020-Dec-10,MOZ,0,,,,,,,
2020-Dec-10,MMR,0,,,,,,,
2020-Dec-10,NAM,0,,,,,,,
2020-Dec-10,NPL,0,,,,,,,
2020-Dec-10,NLD,1,,,,,,,
2020-Dec-10,NCL,0,,,,,,,
2020-Dec-10,NZL,1,,,,,,,
2020-Dec-10,NIC,0,,,,,,,
2020-Dec-10,NER,0,,,,,,,
2020-Dec-10,NGA,0,,,,,,,
2020-Dec-10,MKD,1,,,,,,,
2020-Dec-10,MNP,0,,,,,,,
2020-Dec-10,NOR,1,,,,,,,
2020-Dec-10,OMN,0,,,,,,,
2020-Dec-10,PAK,0,,,,,,,
2020-Dec-10,PSE,0,,,,,,,
2020-Dec-10,PAN,1,,,,,,,
2020-Dec-10,PNG,0,,,,,,,
2020-Dec-10,PRY,0,,,,,,,
2020-Dec-10,PER,1,,,,,,,
2020-Dec-10,PHL,0,,,,,,,
2020-Dec-10,POL,1,,,,,,,
2020-Dec-10,PRT,1,,,,,,,
2020-Dec-10,PRI,0,,,,,,,
2020-Dec-10,QAT,0,,,,,,,
2020-Dec-10,ROU,1,,,,,,,
2020-Dec-10,RUS,1,,,,,,,
2020-Dec-10,RWA,0,,,,,,,
2020-Dec-10,SHN,0,,,,,,,
2020-Dec-10,KNA,0,,,,,,,
2020-Dec-10,LCA,0,,,,,,,
2020-Dec-10,SPM,0,,,,,,,
2020-Dec-10,VCT,0,,,,,,,
2020-Dec-10,WSM,0,,,,,,,
2020-Dec-10,SMR,0,,,,,,,
2020-Dec-10,STP,0,,,,,,,
2020-Dec-10,SAU,0,,,,,,,
2020-Dec-10,SEN,0,,,,,,,
2020-Dec-10,SRB,1,,,,,,,
2020-Dec-10,SYC,0,,,,,,,
2020-Dec-10,SLE,0,,,,,,,
2020-Dec-10,SGP,1,,,,,,,
2020-Dec-10,SVK,1,,,,,,,
2020-Dec-10,SVN,1,,,,,,,
2020-Dec-10,SLB,0,,,,,,,
2020-Dec-10,SOM,0,,,,,,,
2020-Dec-10,ZAF,0,,,,,,,
2020-Dec-10,KOR,1,,,,,,,
2020-Dec-10,SSD,0,,,,,,,
2020-Dec-10,ESP,1,,,,,,,
2020-Dec-10,LKA,0,,,,,,,
2020-Dec-10,SDN,0,,,,,,,
2020-Dec-10,SUR,0,,,,,,,
2020-Dec-10,SWE,1,,,,,,,
2020-Dec-10,CHE,1,,,,,,,
2020-Dec-10,SYR,0,,,,,,,
2020-Dec-10,TWN,0,,,,,,,
2020-Dec-10,TJK,0,,,,,,,
2020-Dec-10,TZA,0,,,,,,,
2020-Dec-10,THA,1,,,,,,,
2020-Dec-10,TLS,0,,,,,,,
2020-Dec-10,TGO,0,,,,,,,
2020-Dec-10,TTO,0,,,,,,,
2020-Dec-10,TUN,1,,,,,,,
2020-Dec-10,TUR,1,,,,,,,
2020-Dec-10,TCA,0,,,,,,,
2020-Dec-10,UGA,0,,,,,,,
2020-Dec-10,UKR,1,,,,,,,
2020-Dec-10,ARE,0,,,,,,,
2020-Dec-10,GBR,1,,,,,,,
2020-Dec-10,USA,1,,,,,,,
2020-Dec-10,VIR,0,,,,,,,
2020-Dec-10,URY,1,,,,,,,
2020-Dec-10,UZB,0,,,,,,,
2020-Dec-10,VUT,0,,,,,,,
2020-Dec-10,VAT,0,,,,,,,
2020-Dec-10,VEN,0,,,,,,,
2020-Dec-10,VNM,0,,,,,,,
2020-Dec-10,WLF,0,,,,,,,
2020-Dec-10,YEM,0,,,,,,,
2020-Dec-10,ZMB,0,,,,,,,
2020-Dec-10,ZWE,0,,,,,,,
2021-May-19,AFG,0,,,,,,,
2021-May-19,ALB,1,,,,,,,
2021-May-19,DZA,0,,,,,,,
2021-May-19,AND,0,,,,,,,
2021-May-19,AGO,0,,,,,,,
2021-May-19,AIA,0,,,,,,,
2021-May-19,ATG,0,,,,,,,
2021-May-19,ARG,1,,,,,,,
2021-May-19,ARM,1,,,,,,,
2021-May-19,ABW,2,,,,,,,
2021-May-19,AUS,1,,,,,,,
2021-May-19,AUT,1,,,,,,,
2021-May-19,AZE,1,,,,,,,
2021-May-19,BHS,1,,,,,,,
2021-May-19,BHR,1,,,,,,,
2021-May-19,BGD,0,,,,,,,
2021-May-19,BRB,1,,,,,,,
2021-May-19,BLR,1,,,,,,,
2021-May-19,BEL,1,,,,,,,
2021-May-19,BLZ,0,,,,,,,
2021-May-19,BEN,0,,,,,,,
2021-May-19,BMU,0,,,,,,,
2021-May-19,BTN,0,,,,,,,
2021-May-19,BOL,0,,,,,,,
2021-May-19,BES,0,,,,,,,
2021-May-19,BIH,1,,,,,,,
2021-May-19,BWA,0,,,,,,,
2021-May-19,BRA,1,,,,,,,
2021-May-19,VGB,0,,,,,,,
2021-May-19,BRN,0,,,,,,,
2021-May-19,BGR,1,,,,,,,
2021-May-19,BFA,0,,,,,,,
2021-May-19,BDI,0,,,,,,,
2021-May-19,KHM,0,,,,,,,
2021-May-19,CMR,0,,,,,,,
2021-May-19,CAN,1,,,,,,,
2021-May-19,CPV,0,,,,,,,
2021-May-19,CYM,0,,,,,,,
2021-May-19,CAF,0,,,,,,,
2021-May-19,TCD,0,,,,,,,
2021-May-19,CHL,2,,,,,,,
2021-May-19,CHN,1,,,,,,,
2021-May-19,COL,1,,,,,,,
2021-May-19,COM,0,,,,,,,
2021-May-19,COG,0,,,,,,,
2021-May-19,CRI,1,,,,,,,
2021-May-19,CIV,0,,,,,,,
2021-May-19,HRV,1,,,,,,,
2021-May-19,CUB,1,,,,,,,
2021-May-19,CUW,2,,,,,,,
2021-May-19,CYP,1,,,,,,,
2021-May-19,CZE,1,,,,,,,
2021-May-19,COD,0,,,,,,,
2021-May-19,DNK,1,,,,,,,
2021-May-19,DJI,0,,,,,,,
2021-May-19,DMA,0,,,,,,,
2021-May-19,DOM,0,,,,,,,
2021-May-19,ECU,0,,,,,,,
2021-May-19,EGY,0,,,,,,,
2021-May-19,SLV,0,,,,,,,
2021-May-19,GNQ,0,,,,,,,
2021-May-19,ERI,0,,,,,,,
2021-May-19,EST,1,,,,,,,
2021-May-19,SWZ,0,,,,,,,
2021-May-19,ETH,0,,,,,,,
2021-May-19,FRO,0,,,,,,,
2021-May-19,FLK,0,,,,,,,
2021-May-19,FJI,0,,,,,,,
2021-May-19,FIN,1,,,,,,,
2021-May-19,FRA,2,,,,,,,
2021-May-19,PYF,0,,,,,,,
2021-May-19,GAB,0,,,,,,,
2021-May-19,GMB,0,,,,,,,
2021-May-19,GEO,1,,,,,,,
2021-May-19,DEU,1,,,,,,,
2021-May-19,GHA,0,,,,,,,
2021-May-19,GIB,2,,,,,,,
2021-May-19,GRC,1,,,,,,,
2021-May-19,GRL,0,,,,,,,
2021-May-19,GRD,0,,,,,,,
2021-May-19,GUM,0,,,,,,,
2021-May-19,GTM,0,,,,,,,
2021-May-19,GGY,0,,,,,,,
2021-May-19,GIN,0,,,,,,,
2021-May-19,GNB,0,,,,,,,
2021-May-19,GUY,0,,,,,,,
2021-May-19,HTI,0,,,,,,,
2021-May-19,HND,0,,,,,,,
2021-May-19,HKG,1,,,,,,,
2021-May-19,HUN,2,,,,,,,
2021-May-19,ISL,1,,,,,,,
2021-May-19,IND,1,,,,,,,
2021-May-19,IDN,0,,,,,,,
2021-May-19,IRN,0,,,,,,,
2021-May-19,IRQ,0,,,,,,,
2021-May-19,IRL,1,,,,,,,
2021-May-19,IMN,0,,,,,,,
2021-May-19,ISR,2,,,,,,,
2021-May-19,ITA,1,,,,,,,
2021-May-19,JAM,1,,,,,,,
2021-May-19,JPN,1,,,,,,,
2021-May-19,JEY,0,,,,,,,
2021-May-19,JOR,0,,,,,,,
2021-May-19,KAZ,1,,,,,,,
2021-May-19,KEN,0,,,,,,,
2021-May-19,KIR,0,,,,,,,
2021-May-19,KWT,0,,,,,,,
2021-May-19,KGZ,0,,,,,,,
2021-May-19,LAO,0,,,,,,,
2021-May-19,LVA,1,,,,,,,
2021-May-19,LBN,1,,,,,,,
2021-May-19,LSO,0,,,,,,,
2021-May-19,LBR,0,,,,,,,
2021-May-19,LBY,0,,,,,,,
2021-May-19,LIE,0,,,,,,,
2021-May-19,LTU,1,,,,,,,
2021-May-19,LUX,1,,,,,,,
2021-May-19,MAC,0,,,,,,,
2021-May-19,MDG,0,,,,,,,
2021-May-19,MWI,0,,,,,,,
2021-May-19,MYS,1,,,,,,,
2021-May-19,MDV,1,,,,,,,
2021-May-19,MLI,0,,,,,,,
2021-May-19,MLT,2,,,,,,,
2021-May-19,MHL,0,,,,,,,
2021-May-19,MRT,0,,,,,,,
2021-May-19,MUS,1,,,,,,,
2021-May-19,MEX,0,,,,,,,
2021-May-19,FSM,0,,,,,,,
2021-May-19,MDA,1,,,,,,,
2021-May-19,MCO,0,,,,,,,
2021-May-19,MNG,0,,,,,,,
2021-May-19,MNE,1,,,,,,,
2021-May-19,MSR,0,,,,,,,
2021-May-19,MAR,0,,,,,,,
2021-May-19,MOZ,0,,,,,,,
2021-May-19,MMR,0,,,,,,,
2021-May-19,NAM,0,,,,,,,
2021-May-19,NRU,0,,,,,,,
2021-May-19,NPL,0,,,,,,,
2021-May-19,NLD,1,,,,,,,
2021-May-19,NCL,0,,,,,,,
2021-May-19,NZL,1,,,,,,,
2021-May-19,NIC,0,,,,,,,
2021-May-19,NER,0,,,,,,,
2021-May-19,NGA,0,,,,,,,
2021-May-19,MKD,1,,,,,,,
2021-May-19,MNP,0,,,,,,,
2021-May-19,NOR,1,,,,,,,
2021-May-19,OMN,0,,,,,,,
2021-May-19,PAK,0,,,,,,,
2021-May-19,PSE,0,,,,,,,
2021-May-19,PAN,0,,,,,,,
2021-May-19,PNG,0,,,,,,,
2021-May-19,PRY,0,,,,,,,
2021-May-19,PER,1,,,,,,,
2021-May-19,PHL,0,,,,,,,
2021-May-19,POL,1,,,,,,,
2021-May-19,PRT,1,,,,,,,
2021-May-19,PRI,0,,,,,,,
2021-May-19,QAT,0,,,,,,,
2021-May-19,ROU,1,,,,,,,
2021-May-19,RUS,1,,,,,,,
2021-May-19,RWA,0,,,,,,,
2021-May-19,SHN,0,,,,,,,
2021-May-19,KNA,0,,,,,,,
2021-May-19,LCA,0,,,,,,,
2021-May-19,SPM,0,,,,,,,
2021-May-19,VCT,0,,,,,,,
2021-May-19,WSM,0,,,,,,,
2021-May-19,SMR,0,,,,,,,
2021-May-19,STP,0,,,,,,,
2021-May-19,SAU,0,,,,,,,
2021-May-19,SEN,0,,,,,,,
2021-May-19,SRB,1,,,,,,,
2021-May-19,SYC,1,,,,,,,
2021-May-19,SLE,0,,,,,,,
2021-May-19,SGP,1,,,,,,,
2021-May-19,SXM,0,,,,,,,
2021-May-19,SVK,1,,,,,,,
2021-May-19,SVN,1,,,,,,,
2021-May-19,SLB,0,,,,,,,
2021-May-19,SOM,0,,,,,,,
2021-May-19,ZAF,0,,,,,,,
2021-May-19,KOR,1,,,,,,,
2021-May-19,SSD,0,,,,,,,
2021-May-19,ESP,1,,,,,,,
2021-May-19,LKA,1,,,,,,,
2021-May-19,SDN,0,,,,,,,
2021-May-19,SUR,1,,,,,,,
2021-May-19,SWE,1,,,,,,,
2021-May-19,CHE,1,,,,,,,
2021-May-19,SYR,0,,,,,,,
2021-May-19,TWN,0,,,,,,,
2021-May-19,TJK,0,,,,,,,
2021-May-19,TZA,0,,,,,,,
2021-May-19,THA,1,,,,,,,
2021-May-19,TLS,0,,,,,,,
2021-May-19,TGO,0,,,,,,,
2021-May-19,TON,0,,,,,,,
2021-May-19,TTO,1,,,,,,,
2021-May-19,TUN,1,,,,,,,
2021-May-19,TUR,1,,,,,,,
2021-May-19,TKM,0,,,,,,,
2021-May-19,TCA,0,,,,,,,
2021-May-19,TUV,0,,,,,,,
2021-May-19,UGA,0,,,,,,,
2021-May-19,UKR,1,,,,,,,
2021-May-19,ARE,0,,,,,,,
2021-May-19,GBR,2,,,,,,,
2021-May-19,USA,2,,,,,,,
2021-May-19,VIR,0,,,,,,,
2021-May-19,URY,1,,,,,,,
2021-May-19,UZB,0,,,,,,,
2021-May-19,VUT,0,,,,,,,
2021-May-19,VAT,0,,,,,,,
2021-May-19,VEN,0,,,,,,,
2021-May-19,VNM,0,,,,,,,
2021-May-19,WLF,0,,,,,,,
2021-May-19,YEM,0,,,,,,,
2021-May-19,ZMB,0,,,,,,,
2021-May-19,ZWE,0,,,,,,,
2022-May-13,AFG,0,,,,,,,
2022-May-13,ALB,1,,,,,,,
2022-May-13,DZA,0,,,,,,,
2022-May-13,AND,0,,,,,,,
2022-May-13,AGO,0,,,,,,,
2022-May-13,AIA,2,,,,,,,
2022-May-13,ATG,0,,,,,,,
2022-May-13,ARG,1,,,,,,,
2022-May-13,ARM,1,,,,,,,
2022-May-13,ABW,2,,,,,,,
2022-May-13,AUS,1,,,,,,,
2022-May-13,AUT,2,,,,,,,
2022-May-13,AZE,0,,,,,,,
2022-May-13,BHS,0,,,,,,,
2022-May-13,BHR,0,,,,,,,
2022-May-13,BGD,0,,,,,,,
2022-May-13,BRB,1,,,,,,,
2022-May-13,BLR,1,,,,,,,
2022-May-13,BEL,1,,,,,,,
2022-May-13,BLZ,0,,,,,,,
2022-May-13,BEN,0,,,,,,,
2022-May-13,BMU,0,,,,,,,
2022-May-13,BTN,0,,,,,,,
2022-May-13,BOL,0,,,,,,,
2022-May-13,BES,0,,,,,,,
2022-May-13,BIH,1,,,,,,,
2022-May-13,BWA,0,,,,,,,
2022-May-13,BRA,2,,,,,,,
2022-May-13,VGB,0,,,,,,,
2022-May-13,BRN,0,,,,,,,
2022-May-13,BGR,1,,,,,,,
2022-May-13,BFA,0,,,,,,,
2022-May-13,BDI,0,,,,,,,
2022-May-13,KHM,0,,,,,,,
2022-May-13,CMR,0,,,,,,,
2022-May-13,CAN,1,,,,,,,
2022-May-13,CPV,0,,,,,,,
2022-May-13,CYM,0,,,,,,,
2022-May-13,CAF,0,,,,,,,
2022-May-13,TCD,0,,,,,,,
2022-May-13,CHL,2,,,,,,,
2022-May-13,CHN,1,,,,,,,
2022-May-13,COL,0,,,,,,,
2022-May-13,COM,0,,,,,,,
2022-May-13,COG,0,,,,,,,
2022-May-13,COK,0,,,,,,,
2022-May-13,CRI,0,,,,,,,
2022-May-13,CIV,0,,,,,,,
2022-May-13,HRV,1,,,,,,,
2022-May-13,CUB,1,,,,,,,
2022-May-13,CUW,2,,,,,,,
2022-May-13,CYP,1,,,,,,,
2022-May-13,CZE,2,,,,,,,
2022-May-13,COD,0,,,,,,,
2022-May-13,DNK,1,,,,,,,
2022-May-13,DJI,0,,,,,,,
2022-May-13,DMA,0,,,,,,,
2022-May-13,DOM,0,,,,,,,
2022-May-13,ECU,0,,,,,,,
2022-May-13,EGY,0,,,,,,,
2022-May-13,SLV,0,,,,,,,
2022-May-13,GNQ,0,,,,,,,
2022-May-13,ERI,0,,,,,,,
2022-May-13,EST,1,,,,,,,
2022-May-13,SWZ,0,,,,,,,
2022-May-13,ETH,0,,,,,,,
2022-May-13,FRO,0,,,,,,,
2022-May-13,FLK,0,,,,,,,
2022-May-13,FJI,0,,,,,,,
2022-May-13,FIN,1,,,,,,,
2022-May-13,FRA,1,,,,,,,
2022-May-13,PYF,0,,,,,,,
2022-May-13,GAB,0,,,,,,,
2022-May-13,GMB,0,,,,,,,
2022-May-13,GEO,1,,,,,,,
2022-May-13,DEU,1,,,,,,,
2022-May-13,GHA,0,,,,,,,
2022-May-13,GIB,0,,,,,,,
2022-May-13,GRC,2,,,,,,,
2022-May-13,GRL,0,,,,,,,
2022-May-13,GRD,0,,,,,,,
2022-May-13,GTM,0,,,,,,,
2022-May-13,GIN,0,,,,,,,
2022-May-13,GNB,0,,,,,,,
2022-May-13,GUY,0,,,,,,,
2022-May-13,HTI,0,,,,,,,
2022-May-13,HND,2,,,,,,,
2022-May-13,HKG,1,,,,,,,
2022-May-13,HUN,1,,,,,,,
2022-May-13,ISL,1,,,,,,,
2022-May-13,IND,2,,,,,,,
2022-May-13,IDN,2,,,,,,,
2022-May-13,IRN,0,,,,,,,
2022-May-13,IRQ,0,,,,,,,
2022-May-13,IRL,1,,,,,,,
2022-May-13,IMN,0,,,,,,,
2022-May-13,ISR,2,,,,,,,
2022-May-13,ITA,2,,,,,,,
2022-May-13,JAM,0,,,,,,,
2022-May-13,JPN,1,,,,,,,
2022-May-13,JOR,0,,,,,,,
2022-May-13,KAZ,0,,,,,,,
2022-May-13,KEN,0,,,,,,,
2022-May-13,KIR,0,,,,,,,
2022-May-13,KWT,0,,,,,,,
2022-May-13,KGZ,0,,,,,,,
2022-May-13,LAO,0,,,,,,,
2022-May-13,LVA,2,,,,,,,
2022-May-13,LBN,1,,,,,,,
2022-May-13,LSO,0,,,,,,,
2022-May-13,LBR,0,,,,,,,
2022-May-13,LBY,0,,,,,,,
2022-May-13,LIE,0,,,,,,,
2022-May-13,LTU,2,,,,,,,
2022-May-13,LUX,1,,,,,,,
2022-May-13,MAC,2,,,,,,,
2022-May-13,MDG,0,,,,,,,
2022-May-13,MWI,0,,,,,,,
2022-May-13,MYS,2,,,,,,,
2022-May-13,MDV,0,,,,,,,
2022-May-13,MLI,0,,,,,,,
2022-May-13,MLT,1,,,,,,,
2022-May-13,MHL,0,,,,,,,
2022-May-13,MRT,0,,,,,,,
2022-May-13,MUS,1,,,,,,,
2022-May-13,MEX,0,,,,,,,
2022-May-13,FSM,0,,,,,,,
2022-May-13,MDA,1,,,,,,,
2022-May-13,MCO,0,,,,,,,
2022-May-13,MNG,0,,,,,,,
2022-May-13,MNE,1,,,,,,,
2022-May-13,MSR,0,,,,,,,
2022-May-13,MAR,0,,,,,,,
2022-May-13,MOZ,0,,,,,,,
2022-May-13,MMR,0,,,,,,,
2022-May-13,NAM,0,,,,,,,
2022-May-13,NPL,0,,,,,,,
2022-May-13,NLD,1,,,,,,,
2022-May-13,NCL,0,,,,,,,
2022-May-13,NZL,1,,,,,,,
2022-May-13,NIC,2,,,,,,,
2022-May-13,NER,0,,,,,,,
2022-May-13,NGA,0,,,,,,,
2022-May-13,MKD,1,,,,,,,
2022-May-13,NOR,1,,,,,,,
2022-May-13,OMN,0,,,,,,,
2022-May-13,PAK,0,,,,,,,
2022-May-13,PLW,0,,,,,,,
2022-May-13,PSE,0,,,,,,,
2022-May-13,PAN,2,,,,,,,
2022-May-13,PNG,0,,,,,,,
2022-May-13,PRY,0,,,,,,,
2022-May-13,PER,0,,,,,,,
2022-May-13,PHL,0,,,,,,,
2022-May-13,POL,1,,,,,,,
2022-May-13,PRT,1,,,,,,,
2022-May-13,QAT,0,,,,,,,
2022-May-13,ROU,1,,,,,,,
2022-May-13,RUS,1,,,,,,,
2022-May-13,RWA,0,,,,,,,
2022-May-13,SHN,0,,,,,,,
2022-May-13,KNA,0,,,,,,,
2022-May-13,LCA,0,,,,,,,
2022-May-13,SPM,0,,,,,,,
2022-May-13,VCT,0,,,,,,,
2022-May-13,WSM,0,,,,,,,
2022-May-13,SMR,0,,,,,,,
2022-May-13,STP,0,,,,,,,
2022-May-13,SAU,0,,,,,,,
2022-May-13,SEN,0,,,,,,,
2022-May-13,SRB,1,,,,,,,
2022-May-13,SYC,1,,,,,,,
2022-May-13,SLE,0,,,,,,,
2022-May-13,SGP,1,,,,,,,
2022-May-13,SVK,1,,,,,,,
2022-May-13,SVN,1,,,,,,,
2022-May-13,SLB,0,,,,,,,
2022-May-13,SOM,0,,,,,,,
2022-May-13,ZAF,0,,,,,,,
2022-May-13,KOR,2,,,,,,,
2022-May-13,SSD,0,,,,,,,
2022-May-13,ESP,1,,,,,,,
2022-May-13,LKA,0,,,,,,,
2022-May-13,SDN,0,,,,,,,
2022-May-13,SUR,0,,,,,,,
2022-May-13,SWE,1,,,,,,,
2022-May-13,CHE,1,,,,,,,
2022-May-13,SYR,0,,,,,,,
2022-May-13,TWN,2,,,,,,,
2022-May-13,TJK,0,,,,,,,
2022-May-13,TZA,0,,,,,,,
2022-May-13,THA,2,,,,,,,
2022-May-13,TLS,0,,,,,,,
2022-May-13,TGO,0,,,,,,,
2022-May-13,TON,0,,,,,,,
2022-May-13,TTO,0,,,,,,,
2022-May-13,TUN,0,,,,,,,
2022-May-13,TUR,2,,,,,,,
2022-May-13,TCA,0,,,,,,,
2022-May-13,UGA,0,,,,,,,
2022-May-13,UKR,1,,,,,,,
2022-May-13,ARE,2,,,,,,,
2022-May-13,GBR,1,,,,,,,
2022-May-13,USA,1,,,,,,,
2022-May-13,URY,2,,,,,,,
2022-May-13,UZB,0,,,,,,,
2022-May-13,VUT,0,,,,,,,
2022-May-13,VAT,0,,,,,,,
2022-May-13,VEN,0,,,,,,,
2022-May-13,VNM,0,,,,,,,
2022-May-13,WLF,0,,,,,,,
2022-May-13,YEM,0,,,,,,,
2022-May-13,ZMB,0,,,,,,,
2022-May-13,ZWE,0,,,,,,,
